Order ID,Order Date,Ship Date,Customer ID,Segment,Region,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
CA-2024-000001,2024-10-16,2024-10-17,CU-1913,Home Office,Central,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1,0.0,1385.2,341.99
CA-2024-000002,2024-08-27,2024-08-31,CU-1733,Home Office,West,Technology,Phones,Cisco TelePresence System EX90 Videoconferencing Unit,1,0.0,3308.18,653.95
CA-2023-000003,2023-08-14,2023-08-18,CU-1348,Corporate,East,Office Supplies,Envelopes,Avery Self-Adhesive Address Labels,3,0.0,70.09,6.66
CA-2023-000004,2023-08-09,2023-08-16,CU-1826,Consumer,West,Office Supplies,Storage,Fellowes Bankers Box Heavy-Duty Storage Boxes,1,0.0,94.1,7.01
CA-2024-000005,2024-07-03,2024-07-04,CU-1882,Corporate,East,Technology,Machines,HP LaserJet Pro M404n Printer,1,0.1,394.02,50.77
CA-2024-000006,2024-12-22,2024-12-23,CU-1103,Corporate,South,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,1,0.0,956.38,127.82
CA-2024-000007,2024-04-09,2024-04-15,CU-1699,Home Office,Central,Technology,Accessories,Belkin 8-Outlet Surge Protector,1,0.0,83.68,0.9
CA-2024-000008,2024-09-15,2024-09-21,CU-1655,Home Office,East,Technology,Accessories,Logitech G910 Mechanical Keyboard,2,0.0,520.25,142.15
CA-2024-000009,2024-12-02,2024-12-05,CU-1274,Consumer,East,Technology,Accessories,Belkin 8-Outlet Surge Protector,2,0.0,148.91,15.61
CA-2024-000010,2024-08-03,2024-08-09,CU-1271,Consumer,East,Office Supplies,Storage,Fellowes Bankers Box Heavy-Duty Storage Boxes,2,0.0,190.31,36.38
CA-2024-000011,2024-07-28,2024-08-02,CU-1141,Home Office,West,Furniture,Furnishings,Eldon Image Series Desk Accessories,2,0.2,104.43,-2.22
CA-2023-000012,2023-04-04,2023-04-11,CU-1065,Corporate,West,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,1,0.1,978.86,87.47
CA-2024-000013,2024-09-02,2024-09-06,CU-1698,Home Office,South,Office Supplies,Art,Newell 312 Mechanical Pencil,5,0.15,37.24,-9.82
CA-2024-000014,2024-10-18,2024-10-21,CU-1269,Home Office,East,Technology,Phones,Polycom CX600 IP Phone,1,0.0,446.96,70.0
CA-2024-000015,2024-06-03,2024-06-04,CU-1780,Consumer,Central,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,1,0.1,37.95,-15.83
CA-2024-000016,2024-09-05,2024-09-08,CU-1245,Consumer,East,Office Supplies,Art,Newell 312 Mechanical Pencil,1,0.0,10.43,-18.95
CA-2024-000017,2024-08-03,2024-08-04,CU-1131,Home Office,West,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1,0.0,850.0,164.18
CA-2024-000018,2024-07-16,2024-07-18,CU-1747,Home Office,East,Furniture,Furnishings,Eldon Image Series Desk Accessories,3,0.0,189.14,42.91
CA-2024-000019,2024-12-31,2025-01-03,CU-1253,Consumer,Central,Office Supplies,Paper,Xerox Premium Multipurpose Paper,2,0.0,110.75,19.98
CA-2023-000020,2023-12-13,2023-12-14,CU-1234,Consumer,Central,Office Supplies,Envelopes,Avery Self-Adhesive Address Labels,1,0.0,20.46,-15.09
CA-2023-000021,2023-12-05,2023-12-06,CU-1903,Home Office,West,Office Supplies,Art,Newell 312 Mechanical Pencil,1,0.0,9.67,-19.37
CA-2023-000022,2023-09-06,2023-09-13,CU-1420,Corporate,Central,Office Supplies,Appliances,Hoover Commercial Lightweight Vacuum,1,0.0,485.99,67.65
CA-2024-000023,2024-11-20,2024-11-26,CU-1254,Consumer,East,Technology,Machines,HP LaserJet Pro M404n Printer,1,0.0,401.68,84.14
CA-2024-000024,2024-07-03,2024-07-07,CU-1827,Home Office,Central,Technology,Accessories,Logitech MX Master Wireless Mouse,1,0.0,173.29,22.21
CA-2023-000025,2023-02-21,2023-02-27,CU-1170,Corporate,West,Technology,Machines,HP LaserJet Pro M404n Printer,3,0.3,934.39,58.24
CA-2024-000026,2024-05-07,2024-05-09,CU-1948,Corporate,South,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,3,0.0,113.05,9.04
CA-2024-000027,2024-03-09,2024-03-15,CU-1303,Consumer,Central,Office Supplies,Storage,Tennsco Industrial Steel Shelving,5,0.1,1657.1,261.77
CA-2024-000028,2024-08-16,2024-08-22,CU-1873,Home Office,East,Office Supplies,Art,Newell 312 Mechanical Pencil,2,0.0,19.49,-15.12
CA-2023-000029,2023-02-28,2023-03-05,CU-1122,Home Office,East,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1,0.1,753.87,65.69
CA-2024-000030,2024-08-15,2024-08-20,CU-1267,Consumer,South,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,1,0.1,941.25,75.24
CA-2023-000031,2023-09-02,2023-09-05,CU-1074,Consumer,West,Office Supplies,Paper,Xerox Premium Multipurpose Paper,2,0.0,99.99,18.12
CA-2024-000032,2024-09-28,2024-10-03,CU-1902,Consumer,East,Technology,Machines,HP LaserJet Pro M404n Printer,1,0.0,396.22,84.93
CA-2024-000033,2024-01-14,2024-01-17,CU-1669,Home Office,Central,Technology,Accessories,Logitech G910 Mechanical Keyboard,3,0.1,732.04,165.69
CA-2024-000034,2024-11-14,2024-11-21,CU-1911,Consumer,East,Office Supplies,Art,Newell 312 Mechanical Pencil,4,0.0,40.99,-6.21
CA-2023-000035,2023-10-06,2023-10-09,CU-1500,Corporate,Central,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,2,0.0,13.61,-17.34
CA-2023-000036,2023-04-05,2023-04-11,CU-1268,Consumer,West,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.0,43.36,-6.94
CA-2024-000037,2024-07-18,2024-07-24,CU-1558,Consumer,South,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.0,44.17,-5.67
CA-2024-000038,2024-08-19,2024-08-24,CU-1881,Consumer,South,Technology,Accessories,Logitech MX Master Wireless Mouse,1,0.0,174.01,32.44
CA-2023-000039,2023-08-04,2023-08-10,CU-1635,Home Office,East,Furniture,Bookcases,Bush Westfield Collection Bookcase,1,0.15,509.68,-12.41
CA-2023-000040,2023-08-31,2023-09-07,CU-1946,Corporate,West,Technology,Accessories,Logitech G910 Mechanical Keyboard,2,0.0,523.37,109.23
CA-2024-000041,2024-11-16,2024-11-23,CU-1039,Corporate,East,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,1,0.0,58.14,-7.0
CA-2023-000042,2023-07-24,2023-07-31,CU-1675,Consumer,West,Furniture,Bookcases,Sauder Camden County Barrister Bookcase,1,0.15,642.44,-44.55
CA-2023-000043,2023-12-03,2023-12-06,CU-1863,Home Office,South,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,4,0.0,169.58,25.62
CA-2023-000044,2023-01-29,2023-01-30,CU-1610,Corporate,South,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,1,0.1,40.43,-15.69
CA-2023-000045,2023-11-18,2023-11-22,CU-1725,Corporate,Central,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.0,6.74,-20.66
